City,USDA Zone Historical
NC_Asheville_13_S,7A
NC_Asheville_8_SSW,7A
MT_Wolf_Point_34_NE,3B
RI_Kingston_1_W,6B
RI_Kingston_1_NW,6B
NH_Durham_2_N,5B
MT_Wolf_Point_29_ENE,3B
NH_Durham_2_SSW,5B
SC_Blackville_3_W,8A
OK_Stillwater_2_W,7A
AZ_Tucson_11_W,9B
MS_Newton_5_ENE,8A
IL_Champaign_9_SW,5B
ME_Limestone_4_NNW,4A
AZ_Elgin_5_S,8A
SC_McClellanville_7_NE,8B
NE_Lincoln_11_SW,5B
OK_Stillwater_5_WNW,7A
SD_Sioux_Falls_14_NNE,4B
NE_Lincoln_8_ENE,5B
ME_Old_Town_2_W,5B
GA_Newton_11_SW,8B
GA_Newton_8_W,8B
TX_Monahans_6_ENE,8A
WA_Darrington_21_NNE,8A
OR_Riley_10_WSW,6A
KY_Versailles_3_NNW,6B
NM_Socorro_20_N,7B
LA_Monroe_26_N,8B
ID_Arco_17_SW,4B
NE_Harrison_20_SSE,4B
IL_Shabbona_5_NNE,5B
MT_St._Mary_1_SSW,4A
TX_Palestine_6_WNW,8B
CO_Nunn_7_NNE,5A
KS_Manhattan_6_SSW,6A
LA_Lafayette_13_SE,9A
ID_Murphy_10_W,6B
OR_John_Day_35_WNW,6A
WV_Elkins_21_ENE,5B
CO_Boulder_14_W,5B
MN_Goodridge_12_NNW,3B
CA_Redding_12_WNW,9B
GA_Watkinsville_5_SSE,8A
GA_Brunswick_23_S,9A
CO_Montrose_11_ENE,6B
MI_Chatham_1_SE,5A
ND_Medora_7_E,4A
NV_Baker_5_W,6A
CA_Merced_23_WSW,9A
WI_Necedah_5_WNW,4B
SD_Buffalo_13_ESE,4A
OK_Goodwell_2_E,6B
WY_Moose_1_NNE,4A
KY_Bowling_Green_21_NNE,6B
NE_Whitman_5_ENE,4B
CA_Stovepipe_Wells_1_SW,9B
NY_Ithaca_13_E,5B
TX_Muleshoe_19_S,7A
TN_Crossville_7_NW,6B
TX_Edinburg_17_NNE,9B
CO_La_Junta_17_WSW,5B
IA_Des_Moines_17_E,5A
ON_Egbert_1_W,6A
VA_Cape_Charles_5_ENE,8A
CO_Dinosaur_2_E,6A
NM_Los_Alamos_13_W,6B
NY_Millbrook_3_W,5B
NV_Mercury_3_SSW,8B
WY_Lander_11_SSE,4B
AL_Selma_13_WNW,8A
HI_Mauna_Loa_5_NNE,7B
CO_Cortez_8_SE,6A
FL_Titusville_7_E,9B
AL_Gadsden_19_N,7B
HI_Hilo_5_S,12B
MO_Chillicothe_22_ENE,5B
KS_Oakley_19_SSW,6A
AR_Batesville_8_WNW,7A
AL_Fairhope_3_NE,8B
AL_Russellville_4_SSE,7B
AL_Cullman_3_ENE,7B
PA_Avondale_2_N,6A
AL_Courtland_2_WSW,7B
OR_Corvallis_10_SSW,8B
AL_Scottsboro_2_NE,7B
TX_Bronte_11_NNE,8A
SD_Pierre_24_S,5A
ND_Northgate_5_ESE,3B
AL_Valley_Head_1_SSW,7B
WA_Quinault_4_NE,8B
SD_Aberdeen_35_WNW,4A
AL_Muscle_Shoals_2_N,7B
MO_Salem_10_W,6B
UT_Torrey_7_E,6A
FL_Sebring_23_SSE,9B
VA_Charlottesville_2_SSE,7A
IN_Bedford_5_WNW,6A
OH_Coshocton_8_NNE,6A
MI_Gaylord_9_SSW,4B
MN_Sandstone_6_W,3B
TX_Panther_Junction_2_N,8B
TX_Port_Aransas_32_NNE,10A
AL_Greensboro_2_WNW,8A
WY_Sundance_8_NNW,4B
FL_Everglades_City_5_NE,10B
AL_Gainesville_2_NE,8A
AL_Selma_6_SSE,8A
UT_Brigham_City_28_WNW,6B
MT_Dillon_18_WSW,4B
WA_Spokane_17_SSW,6B
NC_Durham_11_W,7B
NM_Las_Cruces_20_N,8A
AL_Clanton_2_NE,8A
CA_Yosemite_Village_12_W,8A
MO_Joplin_24_N,6B
CA_Santa_Barbara_11_W,10A
ND_Jamestown_38_WSW,4A
OR_Coos_Bay_8_SW,9B
CA_Bodega_6_WSW,9B
MT_Lewistown_42_WSW,4B
CA_Fallbrook_5_NE,10B
AL_Troy_2_W,8A
AZ_Williams_35_NNW,6B
AZ_Yuma_27_ENE,10A
AL_Thomasville_2_S,8A
NV_Denio_52_WSW,7A
AL_Brewton_3_NNE,8A
MS_Holly_Springs_4_N,7B
TX_Austin_33_NW,8B
AL_Talladega_10_NNE,7B
AL_Highland_Home_2_S,8A
